hhid,member,panelid,weight,stratum,psu,block,domain,quarter,week,region,area,zone,psu_centroid_lat,psu_centroid_long,q1_02,q1_03,q1_04,q1_05,q1_06,q1_07,q1_08,q1_09,q1_10,q1_11,q1_12,q1_13,q1_14,q1_15,q1_16,q2_01,q2_02,q2_03,q2_04,q2_05,q2_06,q2_07,q2_08,q2_09,q2_10,q2_11,q2_12,q2_13,q2_14,q2_15,q2_16,q2_17,q2_18,q2_19,q2_20,q3_01,q3_02,q3_03,q3_04,q3_05,q3_06,q3_07_1,q3_07_2,q3_07_3,q3_07_4,q3_07_5,q3_07_6,q3_07_7,q3_08,q3_09,q3_10,q3_11,q3_12,q3_13,q3_14,q3_15,q3_15b,q3_16,q3_17,q3_18,q3_19,q3_20,q3_21,q3_22,q3_23,q3_24,q3_25,q3_26,q3_27,q3_28,q3_29,q3_30,q3_31,isic_code,q3_32,q3_33,isco_code,q3_34,q3_35,q3_36,q3_37,q3_38,q3_39,q3_40,q3_41,q4_01,q4_02,q4_03,q4_04,q4_05,q4_06,q4_07,q4_08,q4_09,q5_01,q5_02,q5_03a,q5_03b,q5_04,q5_05,q5_06,q5_07,q6_01,q6_01b,q6_02a,q6_02b,q6_02c,q6_02d,q6_02e,q6_02f,q6_03a,q6_03b,q6_03c,q6_03d,q6_03e,q6_03f,q6_03g,q6_03h,q6_03i,q6_04a,q6_04b,q6_04c,q6_04d,q6_04e,q6_04f,q6_05a,q6_05b,q6_05c,q6_05d,q6_05e,q6_05f,q6_05g,q6_05h,q6_05i,q6_06,q6_06b,q6_07,q6_08,q6_09,q6_10,q6_11,q6_12,q6_13,q6_11b,q6_12b,q6_13b,q6_14,q6_15,q6_16,q6_17,q6_18,q6_19,q6_20a,q6_20b,q6_21,q6_22,q6_23,q6_24a,q6_24b,q6_25
01 0006 002 6,1,101,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Head,Male,47,Married,Ameridian,Guyana,,Region 1,In another city/village of this Guyana region,Yes,No,Secondary,Frm 3/Grd 9,,None,No,,,Yes,,,,,,,,,,,,,,,,,No,,49,,,,6,9,9,9,9,9,6,,57,,Yes,Yes,No,,,,"Employee (for another person, for a company or for the government)",,A written contract,Permanent without time limit,,,Yes,No,Yes,No,Yes,No,,3,MABARUMA REGIONAL HOSPITAL,GENERAL HEALTH CARE,8412,GENERATOR OPERATOR,MAKING SURE THE OIL AND FUEL IS ENOUGH TO RUN THE GENERATOR,3131,Government (Central or Local),,,"In a fixed factory, office",1 person,,1 year or more but less than 5 years,Yourself,,,,,,,,,,,,,,,,,,49000,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,16000,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,47000,0,No,,,Yes
01 0006 002 6,2,102,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Spouse/ partner,Female,47,Married,Ameridian,Guyana,,Region 1,In another city/village of this Guyana region,Yes,No,Secondary,Frm 2/Grd 8,,None,No,,,No,No,99,No,,,No,,,,No,,Yes,Family responsibilities or housework,,"Yes, within the next two weeks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housewife,Yes,5,8,Private employee (work for another person or company),,Guyana,Spouse/Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,No,,,Yes
01 0006 002 6,3,103,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Son/daughter,Female,22,Not Married/ Never lived together,Ameridian,Guyana,,Region 1,In another city/village of this Guyana region,Yes,No,Secondary,Frm 1/Grd 7,,None,No,,,No,No,99,No,,,No,,,,No,,Yes,No jobs available in the area,,No,Housework/ family responsibilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housewife,No,,,,,,Spouse/Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,No,,,Yes
01 0006 002 6,4,104,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Son/daughter,Male,18,Not Married/ Never lived together,Ameridian,Guyana,,Region 1,In another city/village of this Guyana region,Yes,No,Secondary,Frm 5/Grd 11,,GCE O' levels/CXC 5+,No,,,Yes,,,,,,,,,,,,,,,,,No,,44,,,,8,8,8,8,8,4,0,,44,,No,,No,,,,"Employee (for another person, for a company or for the government)",,A written contract,Permanent without time limit,,,Yes,No,Yes,Yes,Yes,No,,3,MABARUMA POST OFFICE,DISTRIBUTING ANDVRECEIVING MAILS ALSO SENDING FAX AND RECEIVING FAX,5310,POSTAL APPERTENIST,MAKING SURE THE TRANSACTIONS ARE ACCURATE AND ALL MONIES ARE ACCOUNTED FOR,4412,Government (Central or Local),,,"In a fixed factory, office",2 to 4 persons,,1 year or more but less than 5 years,Yourself,,,,,,,,,,,,,,,,,,58000,,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,3000,1600,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,No,,,Yes
01 0006 002 6,5,105,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Son/daughter,Female,17,Not Married/ Never lived together,Ameridian,Guyana,,Region 1,In another city/village of this Guyana region,Yes,Yes,Secondary,Frm 3/Grd 9,,None,No,,,No,No,99,No,,,No,,,,No,,No,,,No,In school/ training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student,No,,,,,,Parents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,50000,0,0,,0,No,,,Yes
01 0006 002 6,6,106,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Son/daughter,Female,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 0006 002 6,8,107,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Grand/great-grand child,Female,7,,Mixed,Guyana,,Region 1,In another city/village of this Guyana region,Yes,Yes,Primary,Prep A & B/ Grds 1 & 2,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 0006 002 6,9,108,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Grand/great-grand child,Female,3,,Ameridian,Guyana,,Region 1,5,Yes,Yes,Pre-primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 0006 002 6,10,109,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Grand/great-grand child,Male,3,,Mixed,Guyana,,Region 1,5,Yes,Yes,Pre-primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 0006 002 6,11,110,86.75137429796524,01 0,01 0006,5,Interior,174,5,01,Interior,Rural,8.2065611,-59.803223,Grand/great-grand child,Female,0,,Ameridian,Guyana,,Region 1,5,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
