variable,type,label,value_set_or_range,pct_missing_raw,pct_missing_cleaned,imputation_treatment,notes
hhid,string,Household ID,free text (399 distinct values),0.0,0.0,N/A (no missing values),Household ID; part of the hhid+emig dedup key in clean.py (0 duplicates found).
emig,Int8,Emigrant ID,1–7,0.0,0.0,N/A (no missing values),Emigrant-within-household ID; part of the hhid+emig dedup key in clean.py (0 duplicates found).
weight,float64,Sampling weight,11.49036919162872–172.8062108364007,0.0,0.0,N/A (no missing values),
stratum,string,Stratum,free text (12 distinct values),0.0,0.0,N/A (no missing values),
psu,string,Primary Sampling Unit,free text (214 distinct values),0.0,0.0,N/A (no missing values),
block,Int8,Rotation block,3–6,0.0,0.0,N/A (no missing values),
domain,category,Estimation domain,Coast/Rural; Coast/Urban; Interior,0.0,0.0,N/A (no missing values),
quarter,Int32,Quarter,174–174,0.0,0.0,N/A (no missing values),
week,Int8,Fieldwork week,1–12,1.52,1.52,Not imputed -- outside assigned cleaning/imputation scope,
region,string,Region,02; 03; 04; 05; 06; 08; 09; 10,0.0,0.0,N/A (no missing values),
area,category,Coast/Interior,Coast; Interior,0.0,0.0,N/A (no missing values),
zone,category,Urban/Rural,Rural; Urban,0.0,0.0,N/A (no missing values),
psu_centroid_lat,float64,(mean) geolat_hq,2.6459787–7.5633311,0.0,0.0,N/A (no missing values),
psu_centroid_long,float64,(mean) geolong_hq,-59.98793–-57.136879,0.0,0.0,N/A (no missing values),
q7_04,category,7.04. What is 's relation to the head of THIS household?,Grand/great-grand child; Non relative; Other relative; Parent/parent-in-law; Son/daughter; Son/daughter-in-law; Spouse/ partner; Step/ adopted child,0.0,0.0,N/A (no missing values),
q7_05,category,Sex,Female; Male,0.0,0.0,N/A (no missing values),
q7_06,Int8,Age,0–98,0.0,4.25,"Median imputation, 28 row(s) filled (see emig_imputed.parquet)","Sentinel -1 ('don't know') corrected to NaN in clean.py (28 rows), then median-imputed in impute.py."
q7_07,category,7.07. What is the highest level of education that  COMPLETED?,9 distinct values,1.67,1.67,Not imputed -- outside assigned cleaning/imputation scope,
q7_08,string,7.08. What did ... study?,free text (81 distinct values),78.0,78.0,Not imputed -- outside assigned cleaning/imputation scope,Free-text response; near-duplicate values (>=0.98 similarity) auto-consolidated to their most frequent form in clean.py.
q7_09,Int32,7.09. In what year did ... move out of Guyana?,-1–2017,0.0,0.0,N/A (no missing values),
q7_10,category,7.10. In what period did ... move out of Guyana?,1970 - 1979; 1980 - 1989; 1990 - 1999; 2000 - 2009; 2010 or after; Before 1970,85.89,85.89,Not imputed -- outside assigned cleaning/imputation scope,
q7_11,category,7.11. What was the MOST IMPORTANT reason for ... moving out of Guyana?,9 distinct values,0.0,0.0,N/A (no missing values),
q7_12,category,7.12. In what country is ... living now?,Canada; Caribbean country; Great Britain; Other; Other European country; South America; U.S.A.,0.0,0.0,N/A (no missing values),
q7_13,category,7.13. Had ... ever worked before leaving Guyana?,No; Yes,8.5,8.5,Not imputed -- outside assigned cleaning/imputation scope,
q7_14,category,7.14. What was ... employment status in the LAST JOB SHE/HE HAD IN GUYANA?,"Don't know; Employee (for another person, for a company or for the government); Self-employed (with paid help); Self-employed (without paid help); Unpaid family workers",47.19,47.19,Not imputed -- outside assigned cleaning/imputation scope,
q7_15,string,7.15. What kind of work did ... perform in his/her LAST JOB IN GUYANA (job title,free text (207 distinct values),47.19,47.19,Not imputed -- outside assigned cleaning/imputation scope,Free-text response; near-duplicate values (>=0.98 similarity) auto-consolidated to their most frequent form in clean.py.
q7_16,category,7.16. What is ... current MAIN activity?,Don't know; Incapacitated; Keeping the house; Looking for work; Other; Retired; Studying; Working,8.5,8.5,Not imputed -- outside assigned cleaning/imputation scope,
q7_17,category,7.17. Is ... currently working?,Don't know; No; Yes,70.26,70.26,Not imputed -- outside assigned cleaning/imputation scope,
q7_06_imputed,bool,Flag: True if 'Age' (q7_06) was filled by median imputation (impute.py),False–True,N/A (derived column),N/A (derived column),N/A -- this column is itself an imputation flag,
