variable,type,label,value_set_or_range,pct_missing_raw,pct_missing_cleaned,imputation_treatment,notes
hhid,string,Household ID,free text (3783 distinct values),0.0,0.0,N/A (no missing values),Household ID; part of the hhid+member dedup key in clean.py (0 duplicates found).
member,Int8,Member ID,1–17,0.0,0.0,N/A (no missing values),Person-within-household ID; part of the hhid+member dedup key in clean.py (0 duplicates found).
panelid,Int32,Unique member ID (for panel analyses),101–118,0.0,0.0,N/A (no missing values),"Named like a unique respondent ID but is not one -- only 18 distinct values across 13,853 rows (a panel/wave grouping code). Not used as a join key anywhere in this pipeline (problem_inventory.py)."
weight,float64,Sampling weight,11.49036919162872–172.8062108364007,0.0,0.0,N/A (no missing values),
stratum,string,Stratum,free text (13 distinct values),0.0,0.0,N/A (no missing values),
psu,string,Primary Sampling Unit,free text (340 distinct values),0.0,0.0,N/A (no missing values),
block,Int8,Rotation block,3–6,0.0,0.0,N/A (no missing values),
domain,category,Estimation domain,Coast/Rural; Coast/Urban; Interior,0.0,0.0,N/A (no missing values),
quarter,Int32,Quarter,174–174,0.0,0.0,N/A (no missing values),
week,Int8,Fieldwork week,1–12,1.42,1.42,Not imputed -- outside assigned cleaning/imputation scope,
region,string,Region,free text (9 distinct values),0.0,0.0,N/A (no missing values),
area,category,Coast/Interior,Coast; Interior,0.0,0.0,N/A (no missing values),
zone,category,Urban/Rural,Rural; Urban,0.0,0.0,N/A (no missing values),
psu_centroid_lat,float64,(mean) geolat_hq,2.2192492–8.2065611,0.0,0.0,N/A (no missing values),
psu_centroid_long,float64,(mean) geolong_hq,-59.989098–-57.137543,0.0,0.0,N/A (no missing values),
q1_02,category,Relation to HH head,9 distinct values,0.0,0.0,N/A (no missing values),
q1_03,category,Sex,Female; Male,0.0,0.0,N/A (no missing values),0% missing; no cleaning issues found (problem_inventory.py).
q1_04,Int8,Age,0–99,0.0,0.09,"Median imputation, 12 row(s) filled (see ind_imputed.parquet)","Sentinel -1 ('don't know') corrected to NaN in clean.py (12 rows), then median-imputed in impute.py."
q1_05,category,Marital status,Divorced; Living together; Married; Not Married/ Never lived together; Separated; Widowed,22.29,22.29,Not imputed -- outside assigned cleaning/imputation scope,
q1_06,category,Ethnic group,African/ Black; Ameridian; Chinese; East Indian; Mixed; Other; Portuguese; White,4.42,4.42,Not imputed -- outside assigned cleaning/imputation scope,
q1_07,category,Country of birth,9 distinct values,4.42,4.42,Not imputed -- outside assigned cleaning/imputation scope,
q1_08,Int8,How many years have you been residing in Guyana on a continuous basis?,-1–75,98.98,98.98,Not imputed -- outside assigned cleaning/imputation scope,
