column,dtype,pct_missing,n_unique,top_values,label_set
hhid,str,0.0,399,05 0300 306 7=7; 10 0070 421 6=7; 03 0158 022 3=6; 06 0292 066 3=6; 03 0158 017 2=5,
emig,str,0.0,7,1=399; 2=152; 3=62; 4=28; 5=12,
weight,str,0.0,214,68.7588931049641=21; 52.93382895719373=12; 42.04912776850423=12; 46.98453286462069=11; 32.67253690576785=10,
stratum,str,0.0,12,04 1=127; 06 0=107; 03 0=85; 05 0=79; 10 1=67,
psu,str,0.0,214,03 0158=21; 04 0625=12; 06 0292=12; 06 0094=11; 10 0061=10,
block,str,0.0,4,5=191; 6=168; 3=162; 4=138,
domain,str,0.0,3,Coast/Rural=360; Coast/Urban=255; Interior=44,domain
quarter,str,0.0,1,174=659,
week,str,1.52,12,10=78; 2=74; 4=66; 7=63; 6=59,
region,str,0.0,8,04=192; 06=161; 03=85; 10=82; 05=79,
area,str,0.0,2,Coast=615; Interior=44,area
zone,str,0.0,2,Rural=404; Urban=255,zone
psu_centroid_lat,str,0.0,399,6.094511=7; 6.0250635=7; 6.7671437=6; 6.2889681=6; 6.766305=5,
psu_centroid_long,str,0.0,398,-57.952213=7; -58.301674=7; -58.268383=6; -57.456142=6; -58.259102=5,
q7_04,str,0.0,8,Son/daughter=366; Other relative=139; Parent/parent-in-law=55; Spouse/ partner=40; Grand/great-grand child=32,Erelation
q7_05,str,0.0,2,Female=381; Male=278,Sex
q7_06,str,0.0,80,-1=28; 32=21; 50=21; 37=20; 41=18,
q7_07,str,1.67,9,Secondary=380; Primary=123; University / Certificate /Diploma=48; Don't know=44; Technical/Vocational Certificate or Diploma=36,Leducation
q7_08,str,78.0,81,-1=24; EDUCATION=9; 0=7; Dont know=5; TEACHING=4,
q7_09,str,0.0,48,-1=93; 2015=42; 2017=40; 2016=38; 2013=34,
q7_10,str,85.89,6,2000 - 2009=35; 1990 - 1999=20; 2010 or after=18; 1980 - 1989=14; 1970 - 1979=4,Period
q7_11,str,0.0,9,Family Reunification=200; Work=168; Marriage=149; Study=52; More income=32,Moving
q7_12,str,0.0,7,U.S.A.=377; Caribbean country=132; Canada=75; South America=42; Great Britain=14,Country
q7_13,str,8.5,2,Yes=348; No=255,yesno
q7_14,str,47.19,5,"Employee (for another person, for a company or for the government)=284; Self-employed (without paid help)=51; Self-employed (with paid help)=7; Don't know=4; Unpaid family workers=2",Category
q7_15,str,47.19,211,TEACHER=22; LABOURER=18; CLERK=18; FARMER=6; ACCOUNTANT=5,
q7_16,str,8.5,8,Working=407; Don't know=53; Keeping the house=47; Studying=41; Retired=23,Mactivity
q7_17,str,70.26,3,No=133; Don't know=54; Yes=9,yesnodont
