column,n_missing,pct_missing
q6_05f,13853,100.0
q6_04f,13852,99.99
q6_05g,13851,99.99
q6_12b,13850,99.98
q6_05i,13846,99.95
q6_05c,13828,99.82
q6_04e,13825,99.8
q6_13b,13824,99.79
q6_11b,13823,99.78
q6_05e,13819,99.75
q6_04a,13802,99.63
q4_06,13801,99.62
q2_13,13801,99.62
q6_04d,13800,99.62
q6_05h,13774,99.43
q6_05d,13740,99.18
q6_05b,13727,99.09
q2_12,13724,99.07
q1_08,13712,98.98
q6_04c,13698,98.88
q6_06b,13696,98.87
q3_04,13690,98.82
q3_02,13690,98.82
q3_05,13690,98.82
q6_10,13690,98.82
q3_08,13690,98.82
q3_10,13690,98.82
q6_09,13623,98.34
q6_04b,13560,97.88
q6_08,13531,97.68
q6_01b,13527,97.65
q5_05,13524,97.63
q2_11,13444,97.05
q6_05a,13420,96.87
q4_07,13410,96.8
q2_09,13406,96.77
q4_05,13357,96.42
q4_08,13357,96.42
q4_03,13357,96.42
q4_04,13357,96.42
q3_15b,13339,96.29
q2_03,13304,96.04
q2_02,13304,96.04
q6_24a,13283,95.89
q6_24b,13283,95.89
q3_21,13200,95.29
q3_20,13200,95.29
q4_09,13197,95.26
q4_01,13197,95.26
q4_02,13197,95.26
q2_15,13150,94.93
q2_18,13133,94.8
q1_15,12842,92.7
q6_12,12833,92.64
q6_07,12776,92.23
q3_15,12776,92.23
q3_14,12776,92.23
q2_08,12720,91.82
q3_06,12678,91.52
q2_17,12559,90.66
q3_17,12454,89.9
q3_28,12454,89.9
q6_06,12454,89.9
q6_11,12376,89.34
q3_39,12276,88.62
q3_36,12147,87.68
q3_12,12131,87.57
q5_03b,11874,85.71
q5_04,11874,85.71
q5_03a,11874,85.71
q5_06,11874,85.71
q6_13,11010,79.48
q2_20,10790,77.89
q3_18,10685,77.13
q6_01,10685,77.13
q3_19,10685,77.13
q3_24,10685,77.13
q3_22,10685,77.13
q3_26,10685,77.13
q6_03e,10685,77.13
q6_03f,10685,77.13
q6_03c,10685,77.13
q3_25,10685,77.13
q6_03h,10685,77.13
q6_03g,10685,77.13
q6_03i,10685,77.13
q6_03d,10685,77.13
q6_02e,10685,77.13
q6_02b,10685,77.13
q6_02c,10685,77.13
q6_02d,10685,77.13
q6_03a,10685,77.13
q6_02f,10685,77.13
q6_03b,10685,77.13
q6_02a,10685,77.13
q3_23,10685,77.13
q1_16,10229,73.84
q3_35,10196,73.6
q2_16,9830,70.96
q5_02,9784,70.63
q5_07,9784,70.63
q5_01,9784,70.63
q3_27,9286,67.03
q3_29,9286,67.03
q2_14,9128,65.89
q2_19,9128,65.89
q3_32,9065,65.44
q3_40,9064,65.43
q3_07_3,9064,65.43
q3_03,9064,65.43
q3_07_2,9064,65.43
q3_01,9064,65.43
q3_38,9064,65.43
q3_37,9064,65.43
q3_41,9064,65.43
q3_33,9064,65.43
isic_code,9064,65.43
q3_34,9064,65.43
isco_code,9064,65.43
q3_30,9064,65.43
q3_31,9064,65.43
q3_07_5,9064,65.43
q3_07_4,9064,65.43
q3_13,9064,65.43
q3_11,9064,65.43
q3_09,9064,65.43
q3_16,9064,65.43
q3_07_1,9064,65.43
q3_07_6,9064,65.43
q3_07_7,9064,65.43
q2_10,8810,63.6
q2_07,8687,62.71
q2_06,8664,62.54
q2_05,7791,56.24
q6_14,7463,53.87
q6_21,5968,43.08
q6_19,4370,31.55
q6_17,4370,31.55
q2_04,4370,31.55
q2_01,4370,31.55
q6_18,4370,31.55
q6_16,4370,31.55
q6_15,4370,31.55
q6_22,4370,31.55
q6_20b,4370,31.55
q6_23,4370,31.55
q6_20a,4370,31.55
q6_25,4370,31.55
q1_14,3700,26.71
q1_05,3088,22.29
q1_12,1600,11.55
q1_13,1600,11.55
q1_09,753,5.44
q1_06,612,4.42
q1_07,612,4.42
q1_10,612,4.42
q1_11,612,4.42
week,197,1.42
q1_04,0,0.0
member,0,0.0
q1_03,0,0.0
q1_02,0,0.0
hhid,0,0.0
weight,0,0.0
stratum,0,0.0
psu,0,0.0
panelid,0,0.0
block,0,0.0
domain,0,0.0
quarter,0,0.0
region,0,0.0
area,0,0.0
zone,0,0.0
psu_centroid_lat,0,0.0
psu_centroid_long,0,0.0
