column,value_a,count_a,value_b,count_b,similarity
q7_08,MECHANIC,3,MECHANICS,1,0.978
q7_08,MEDICINE,2,MEDICINES,2,0.978
q7_08,DONT KNOW,3,DON'T KNOW,2,0.977
q7_08,ELECTRICAL  ENGINEER,1,ELECTRICAL ENGINEERING,1,0.963
q7_08,ELECTRICAL  ENGINEER,1,ELECTRICAL ENGEENIER,1,0.959
q7_08,SOCIAL WORKERS,1,SOCIAL WORK,1,0.957
q7_08,Dont know,5,Dont no,1,0.956
q7_08,MEDICINE,2,MEDINCINE,1,0.953
q7_08,BUSINESD,1,BUSINESS,1,0.95
q7_15,POLICER OFFICER,1,POLICE OFFICER,1,0.987
q7_15,TAXI DRIVER,3,TAXI DRIIVER,1,0.983
q7_15,SALESPERSON,2,SALES PERSON,1,0.983
q7_15,STORE CLERK,2,STORES CLERK,1,0.983
q7_15,DON'T KNOW,1,DONT KNOW,1,0.977
q7_15,LAB TECHNICIAN,1,LAB TECHNICION,1,0.971
q7_15,CATTERER,1,CATERER,1,0.971
q7_15,BUS CONDUCTER,1,BUS CONDUCTOR,1,0.969
q7_15,STREET VENDOR,1,STREET VENDER,1,0.969
q7_15,SALESGIRL,2,SALES GIRLS,1,0.964
q7_15,BARBER,1,BARER,1,0.961
q7_15,SALES REPRESENTATIVE,3,SALE REPRESENTATIVE,1,0.958
