# Dtype coercion report: ind

- Columns converted: 175
- Columns where coercion introduced new NaNs: 0

| Column | Dtype applied | Missing before | New NaN from coercion |
| --- | --- | --- | --- |
| hhid | string | 0 | 0 |
| member | Int8 | 0 | 0 |
| panelid | Int32 | 0 | 0 |
| weight | float64 | 0 | 0 |
| stratum | string | 0 | 0 |
| psu | string | 0 | 0 |
| block | Int8 | 0 | 0 |
| domain | category | 0 | 0 |
| quarter | Int32 | 0 | 0 |
| week | Int8 | 197 | 0 |
| region | string | 0 | 0 |
| area | category | 0 | 0 |
| zone | category | 0 | 0 |
| psu_centroid_lat | float64 | 0 | 0 |
| psu_centroid_long | float64 | 0 | 0 |
| q1_02 | category | 0 | 0 |
| q1_03 | category | 0 | 0 |
| q1_04 | Int8 | 0 | 0 |
| q1_05 | category | 3088 | 0 |
| q1_06 | category | 612 | 0 |
| q1_07 | category | 612 | 0 |
| q1_08 | Int8 | 13712 | 0 |
| q1_09 | category | 753 | 0 |
| q1_10 | category | 612 | 0 |
| q1_11 | category | 612 | 0 |
| q1_12 | category | 1600 | 0 |
| q1_13 | category | 1600 | 0 |
| q1_14 | category | 3700 | 0 |
| q1_15 | category | 12842 | 0 |
| q1_16 | category | 10229 | 0 |
| q2_01 | category | 4370 | 0 |
| q2_02 | string | 13304 | 0 |
| q2_03 | category | 13304 | 0 |
| q2_04 | category | 4370 | 0 |
| q2_05 | category | 7791 | 0 |
| q2_06 | Int8 | 8664 | 0 |
| q2_07 | category | 8687 | 0 |
| q2_08 | category | 12720 | 0 |
| q2_09 | category | 13406 | 0 |
| q2_10 | category | 8810 | 0 |
| q2_11 | category | 13444 | 0 |
| q2_12 | category | 13724 | 0 |
| q2_13 | category | 13801 | 0 |
| q2_14 | category | 9128 | 0 |
| q2_15 | category | 13150 | 0 |
| q2_16 | category | 9830 | 0 |
| q2_17 | category | 12559 | 0 |
| q2_18 | category | 13133 | 0 |
| q2_19 | category | 9128 | 0 |
| q2_20 | category | 10790 | 0 |
| q3_01 | category | 9064 | 0 |
| q3_02 | category | 13690 | 0 |
| q3_03 | Int8 | 9064 | 0 |
| q3_04 | Int8 | 13690 | 0 |
| q3_05 | Int32 | 13690 | 0 |
| q3_06 | category | 12678 | 0 |
| q3_07_1 | Int8 | 9064 | 0 |
| q3_07_2 | Int8 | 9064 | 0 |
| q3_07_3 | Int8 | 9064 | 0 |
| q3_07_4 | Int8 | 9064 | 0 |
| q3_07_5 | Int8 | 9064 | 0 |
| q3_07_6 | Int8 | 9064 | 0 |
| q3_07_7 | Int8 | 9064 | 0 |
| q3_08 | Int8 | 13690 | 0 |
| q3_09 | Int32 | 9064 | 0 |
| q3_10 | Int32 | 13690 | 0 |
| q3_11 | category | 9064 | 0 |
| q3_12 | category | 12131 | 0 |
| q3_13 | category | 9064 | 0 |
| q3_14 | category | 12776 | 0 |
| q3_15 | category | 12776 | 0 |
| q3_15b | string | 13339 | 0 |
| q3_16 | category | 9064 | 0 |
| q3_17 | category | 12454 | 0 |
| q3_18 | category | 10685 | 0 |
| q3_19 | category | 10685 | 0 |
| q3_20 | category | 13200 | 0 |
| q3_21 | category | 13200 | 0 |
| q3_22 | category | 10685 | 0 |
| q3_23 | category | 10685 | 0 |
| q3_24 | category | 10685 | 0 |
| q3_25 | category | 10685 | 0 |
| q3_26 | category | 10685 | 0 |
| q3_27 | category | 9286 | 0 |
| q3_28 | category | 12454 | 0 |
| q3_29 | string | 9286 | 0 |
| q3_30 | string | 9064 | 0 |
| q3_31 | string | 9064 | 0 |
| isic_code | string | 9064 | 0 |
| q3_32 | string | 9065 | 0 |
| q3_33 | string | 9064 | 0 |
| isco_code | string | 9064 | 0 |
| q3_34 | category | 9064 | 0 |
| q3_35 | category | 10196 | 0 |
| q3_36 | string | 12147 | 0 |
| q3_37 | category | 9064 | 0 |
| q3_38 | category | 9064 | 0 |
| q3_39 | category | 12276 | 0 |
| q3_40 | category | 9064 | 0 |
| q3_41 | category | 9064 | 0 |
| q4_01 | category | 13197 | 0 |
| q4_02 | category | 13197 | 0 |
| q4_03 | category | 13357 | 0 |
| q4_04 | Int8 | 13357 | 0 |
| q4_05 | category | 13357 | 0 |
| q4_06 | category | 13801 | 0 |
| q4_07 | category | 13410 | 0 |
| q4_08 | category | 13357 | 0 |
| q4_09 | category | 13197 | 0 |
| q5_01 | category | 9784 | 0 |
| q5_02 | category | 9784 | 0 |
| q5_03a | Int8 | 11874 | 0 |
| q5_03b | Int8 | 11874 | 0 |
| q5_04 | category | 11874 | 0 |
| q5_05 | category | 13524 | 0 |
| q5_06 | category | 11874 | 0 |
| q5_07 | category | 9784 | 0 |
| q6_01 | Int64 | 10685 | 0 |
| q6_01b | category | 13527 | 0 |
| q6_02a | category | 10685 | 0 |
| q6_02b | category | 10685 | 0 |
| q6_02c | category | 10685 | 0 |
| q6_02d | category | 10685 | 0 |
| q6_02e | category | 10685 | 0 |
| q6_02f | category | 10685 | 0 |
| q6_03a | category | 10685 | 0 |
| q6_03b | category | 10685 | 0 |
| q6_03c | category | 10685 | 0 |
| q6_03d | category | 10685 | 0 |
| q6_03e | category | 10685 | 0 |
| q6_03f | category | 10685 | 0 |
| q6_03g | category | 10685 | 0 |
| q6_03h | category | 10685 | 0 |
| q6_03i | category | 10685 | 0 |
| q6_04a | Int64 | 13802 | 0 |
| q6_04b | Int64 | 13560 | 0 |
| q6_04c | Int64 | 13698 | 0 |
| q6_04d | Int64 | 13800 | 0 |
| q6_04e | Int32 | 13825 | 0 |
| q6_04f | Int64 | 13852 | 0 |
| q6_05a | Int64 | 13420 | 0 |
| q6_05b | Int64 | 13727 | 0 |
| q6_05c | Int64 | 13828 | 0 |
| q6_05d | Int64 | 13740 | 0 |
| q6_05e | Int32 | 13819 | 0 |
| q6_05f | Int8 | 13853 | 0 |
| q6_05g | Int32 | 13851 | 0 |
| q6_05h | Int64 | 13774 | 0 |
| q6_05i | Int64 | 13846 | 0 |
| q6_06 | Int64 | 12454 | 0 |
| q6_06b | category | 13696 | 0 |
| q6_07 | Int64 | 12776 | 0 |
| q6_08 | category | 13531 | 0 |
| q6_09 | Int64 | 13623 | 0 |
| q6_10 | Int64 | 13690 | 0 |
| q6_11 | Int64 | 12376 | 0 |
| q6_12 | Int64 | 12833 | 0 |
| q6_13 | Int64 | 11010 | 0 |
| q6_11b | category | 13823 | 0 |
| q6_12b | category | 13850 | 0 |
| q6_13b | category | 13824 | 0 |
| q6_14 | Int64 | 7463 | 0 |
| q6_15 | Int64 | 4370 | 0 |
| q6_16 | Int64 | 4370 | 0 |
| q6_17 | Int64 | 4370 | 0 |
| q6_18 | Int64 | 4370 | 0 |
| q6_19 | Int64 | 4370 | 0 |
| q6_20a | Int64 | 4370 | 0 |
| q6_20b | Int64 | 4370 | 0 |
| q6_21 | Int64 | 5968 | 0 |
| q6_22 | Int64 | 4370 | 0 |
| q6_23 | category | 4370 | 0 |
| q6_24a | Int64 | 13283 | 0 |
| q6_24b | Int64 | 13283 | 0 |
| q6_25 | category | 4370 | 0 |
