hhid,id2,rule_name,detail
01 0006 084 5,1,monetary_outlier_q6_01,"q6_01=241728.0 outside IQR bounds [-40000, 152000]"
01 0014 057 7,1,monetary_outlier_q6_01,"q6_01=240000.0 outside IQR bounds [-40000, 152000]"
01 0049 166 3,1,monetary_outlier_q6_01,"q6_01=300000.0 outside IQR bounds [-40000, 152000]"
01 0049 175 0,1,monetary_outlier_q6_01,"q6_01=300000.0 outside IQR bounds [-40000, 152000]"
01 0070 423 2,3,monetary_outlier_q6_01,"q6_01=500000.0 outside IQR bounds [-40000, 152000]"
01 0076 505 7,1,monetary_outlier_q6_01,"q6_01=320000.0 outside IQR bounds [-40000, 152000]"
02 0023 101 5,1,monetary_outlier_q6_01,"q6_01=175000.0 outside IQR bounds [-40000, 152000]"
02 0023 113 8,1,monetary_outlier_q6_01,"q6_01=185000.0 outside IQR bounds [-40000, 152000]"
02 0028 217 4,1,monetary_outlier_q6_01,"q6_01=152250.0 outside IQR bounds [-40000, 152000]"
02 0028 247 0,2,monetary_outlier_q6_01,"q6_01=300000.0 outside IQR bounds [-40000, 152000]"
02 0034 042 8,6,monetary_outlier_q6_01,"q6_01=186000.0 outside IQR bounds [-40000, 152000]"
02 0055 092 1,1,monetary_outlier_q6_01,"q6_01=200000.0 outside IQR bounds [-40000, 152000]"
02 0058 098 6,1,monetary_outlier_q6_01,"q6_01=220000.0 outside IQR bounds [-40000, 152000]"
02 0084 031 7,1,monetary_outlier_q6_01,"q6_01=200000.0 outside IQR bounds [-40000, 152000]"
02 0098 009 0,1,monetary_outlier_q6_01,"q6_01=300000.0 outside IQR bounds [-40000, 152000]"
02 0106 083 9,1,monetary_outlier_q6_01,"q6_01=350000.0 outside IQR bounds [-40000, 152000]"
02 0112 110 6,3,monetary_outlier_q6_01,"q6_01=165000.0 outside IQR bounds [-40000, 152000]"
02 0151 005 3,1,monetary_outlier_q6_01,"q6_01=275000.0 outside IQR bounds [-40000, 152000]"
02 0237 120 9,3,monetary_outlier_q6_01,"q6_01=300000.0 outside IQR bounds [-40000, 152000]"
03 0116 004 5,1,monetary_outlier_q6_01,"q6_01=315000.0 outside IQR bounds [-40000, 152000]"
03 0129 131 8,4,monetary_outlier_q6_01,"q6_01=180000.0 outside IQR bounds [-40000, 152000]"
03 0142 180 6,3,monetary_outlier_q6_01,"q6_01=700000.0 outside IQR bounds [-40000, 152000]"
03 0158 011 7,2,monetary_outlier_q6_01,"q6_01=450000.0 outside IQR bounds [-40000, 152000]"
03 0235 094 1,3,monetary_outlier_q6_01,"q6_01=189000.0 outside IQR bounds [-40000, 152000]"
03 0248 010 2,4,monetary_outlier_q6_01,"q6_01=240000.0 outside IQR bounds [-40000, 152000]"
03 0275 038 9,1,monetary_outlier_q6_01,"q6_01=165000.0 outside IQR bounds [-40000, 152000]"
03 0275 052 0,1,monetary_outlier_q6_01,"q6_01=198000.0 outside IQR bounds [-40000, 152000]"
03 0282 115 1,3,monetary_outlier_q6_01,"q6_01=181000.0 outside IQR bounds [-40000, 152000]"
03 0318 063 5,1,monetary_outlier_q6_01,"q6_01=300000.0 outside IQR bounds [-40000, 152000]"
03 0324 107 2,1,monetary_outlier_q6_01,"q6_01=180000.0 outside IQR bounds [-40000, 152000]"
03 0347 093 6,1,monetary_outlier_q6_01,"q6_01=240000.0 outside IQR bounds [-40000, 152000]"
03 0405 036 9,1,monetary_outlier_q6_01,"q6_01=200000.0 outside IQR bounds [-40000, 152000]"
