column,value_a,count_a,value_b,count_b,similarity
q2_02,EARLY CHILDHOOD  EDUCATION,1,EARLY CHILDHOOD EDUCATION,1,0.992
q2_02,ELECTRICAL INSTALLATION,1,ELECTRICAL INSTALATION,1,0.991
q2_02,INFORMATION TECHNOLOGY,3,INFORMATION TECNOLOGY,1,0.991
q2_02,WELDING AND FABRICATION,2,WELDING AND FABRICTION,1,0.991
q2_02,TELECOMMUNICATIONS,4,TELECOMMUNICATION,1,0.989
q2_02,HEALTH AND SAFETY,2,HEALTH AND SAFTY,1,0.988
q2_02,COMMUNICATIONS,2,COMMUNICATION,1,0.986
q2_02,ELECTRICAL INSTALATION,1,ELECTRICAL INSTALASION,1,0.982
q2_02,INFORMATION TECHNOLOGY,3,INFORMATION TECHNOLIGY,1,0.982
q2_02,MECHANIC,17,MECHANICS,1,0.978
q2_02,COMPUTER,8,COMPUTERS,4,0.978
q2_02,COSTUMER CARE,2,CUSTOMER CARE,1,0.977
q2_02,CUSTOMER SERVICE,11,CUSTOMERS SERVICE,2,0.976
q2_02,COMPUTER REPAIR,1,COMPUTERS REPAIRS,1,0.976
q2_02,ELECTRICAL INSTALLATION,1,ELECTRICAL INSTALASION,1,0.974
q2_02,PHARMACEUTICALS,1,PHARMACUETICAL,1,0.972
q2_02,INFORMATION TECNOLOGY,1,INFORMATION TECHNOLIGY,1,0.972
q2_02,SOCIAL WORKER,4,SOCIAL WORK,1,0.969
q2_02,BUSINESS MANAGENENT,1,BUSINESS MANAGEMENT,1,0.968
q2_02,FIRST AID,7,FRIST AID,1,0.967
q2_02,ELECTRICAL,3,ELECTRICAN,1,0.96
q2_02,MECHANIC,17,MECHANICAL,1,0.96
q2_02,CUSTOMER SERVICE,11,CUSTOMER SERVICE REP,3,0.96
q2_02,COSMETOLOGY,6,COSTMETOLOGY,1,0.959
q2_02,HINTERLAND EMPLOYMENT YOUTH SERVICE,1,HINTERLAND YOUTH EMPLOYMENT SERVICES,1,0.954
q2_02,COSTUMER CARE,2,COSTUMER CARE REP,1,0.953
q2_02,CARING FOR ELDERLY,1,CARING FOR THE ELDERLY,1,0.953
q3_15b,WORK ADDITIONAL HOURS INORDER TO COMPLETE TASK,1,WORK ADDITIONAL HOUR INORDER TO COMPLETE TASK,1,0.996
q3_15b,GETTING THE JOB COMPLETED,24,GETTING THE JOB COMPLETE,4,0.992
q3_15b,GETTING THE JOB COMPLETED,24,GETTIN THE JOB COMPLETED,1,0.992
q3_15b,GET THE JOB COMPELTED,1,GET THE JOB COMPLETED,1,0.99
q3_15b,COMPLETE TASK,2,COMPLETE  TASK,1,0.986
q3_15b,WORKED LONGER HOURS THAN USUAL,9,WORJED LONGER HOURS THAN USUAL,1,0.984
q3_15b,GETTING THE JOB COMPLETE,4,GETTIN THE JOB COMPLETED,1,0.983
q3_15b,STAY LATE,16,STAY LATER,1,0.98
